,concept:name,org:resource,Activity,Resource,elementId,start_timestamp,time:timestamp,@@duration,@@approx_bh_partial_cycle_time,@@approx_bh_partial_lead_time,@@approx_bh_overall_wasted_time,@@approx_bh_this_wasted_time,@approx_bh_ratio_cycle_lead_time,case:concept:name,case:variant,case:variant-index,case:creator,case:processId,resourceId,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@startevent_elementId,@@startevent_resourceId
45,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,2022-02-28 10:01:09.616000+01:00,2022-02-28 10:01:10.069000+01:00,0.453,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
46,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,2022-02-28 10:01:10.069000+01:00,2022-02-28 10:01:10.568000+01:00,0.499,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
47,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:01:14.538000+01:00,2022-02-28 10:01:14.677000+01:00,0.139,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
48,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:01:14.677000+01:00,2022-02-28 10:01:14.677000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
49,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:01:16.749000+01:00,2022-02-28 10:01:16.980000+01:00,0.231,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
50,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:01:16.980000+01:00,2022-02-28 10:01:16.980000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
51,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:01:18.340000+01:00,2022-02-28 10:01:18.477000+01:00,0.137,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
52,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:01:23.997000+01:00,2022-02-28 10:01:24.135000+01:00,0.138,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
53,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:01:24.135000+01:00,2022-02-28 10:01:24.135000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
54,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,2022-02-28 10:01:31.393000+01:00,2022-02-28 10:01:31.512000+01:00,0.119,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,createRecord,DB-000001,createRecord,DB-000001,Activity_14s221a,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
55,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:01:42.694000+01:00,2022-02-28 10:01:42.810000+01:00,0.116,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
56,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:02:01.249000+01:00,2022-02-28 10:02:01.371000+01:00,0.122,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
57,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:02:12.228000+01:00,2022-02-28 10:02:13.826000+01:00,1.598,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
58,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:02:33.134000+01:00,2022-02-28 10:02:33.682000+01:00,0.548,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
59,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:02:46.504000+01:00,2022-02-28 10:02:47.408000+01:00,0.904,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
60,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:03:06.017000+01:00,2022-02-28 10:03:06.106000+01:00,0.089,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
61,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:03:06.106000+01:00,2022-02-28 10:03:06.106000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
62,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,2022-02-28 10:03:21.931000+01:00,2022-02-28 10:03:22.177000+01:00,0.246,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,endAnalysis,DB-000001,endAnalysis,DB-000001,Activity_1v68o9x,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
63,EVENT12END,,EVENT12END,,Event_0gu15f7,2022-02-28 10:03:22.177000+01:00,2022-02-28 10:03:22.177000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
